조사지역,조사기관,1위 후보,1위 지지율(%),2위 후보,2위 지지율(%),격차(%p),링크,제목,본문내용
강원 원주시장,한국리서치,구자열,46.4,원강수,25.7,20.7,https://gall.dcinside.com/mgallery/board/view/?id=minjudang&no=5080582&exception_mode=recommend&search_head=100&page=1,한국리서치 : 강원 원주시장 구자열 46.4% 원강수 25.7%,"[KBS춘천 지방선거 여론조사(2차)]- 춘천·원주·강릉시장 선거 - ①조사의뢰: KBS춘천방송총국 ②조사기관: (주)한국리서치 ③조사일자: 2026.5.11~14(4일간) ④조사지역: -춘천:1권역(강남동 등), 2권역(동면 등) -원주:1권역(귀래면 등), 2권역(개운동 등) -강릉:1권역(강남동 등), 2권역(경포동 등) ⑤조사대상: 만 18살 이상 남녀 ⑥표본크기: 춘천·원주·강릉 각 600명 ⑦조사방법: 면접원에 의한 전화면접조사 ⑧피조사자 선정방법: 3개 통신사 제공 휴대전화 가상번호 100% 무작위 추출 ⑨가중치: 성·연령·지역별 가중치 (2026년 4월 말 행정안전부 주민등록인구) ⑩응답률: -춘천 22.6% -원주 20.8% -강릉 23.5% ⑪표본오차:신뢰수준 95%, 오차범위 ±4.0% ⑫질문내용: 춘천·원주·강릉시장 후보 지지도 등 ⑬기타 자세한 사항은 중앙선거여론조사심의위·KBS 홈페이지 참조 [KBS춘천 원주시민 지방선거 여론조사(1차)] 의뢰: KBS춘천 조사: (주)한국리서치 기간: 5.1-5.2 방법: 전화면접 기타 중앙선거여론조사심의위 참조"
부산시장 적극투표층,한국리서치,전재수,50.0,박형준,35.0,15.0,https://gall.dcinside.com/mgallery/board/view/?id=minjudang&no=5080556&exception_mode=recommend&search_head=100&page=1,한국리서치 : 부산시장 적극투표층 전재수 50% 박형준 35%,< 조사개요①> 조사 의뢰 / KBS 조사 기관 / (주)한국리서치 조사 일시 / 2026년 5월 11일~14일 (4일간) 조사 대상 / 서울·부산 거주 만 18세 이상 남녀 조사 방법 / 전화 면접 조사 피조사자 선정방법 / 성·연령·지역으로 층화된 가상번호 내 무작위추출 표본 수 / 서울·부산 각 800명 응답률 / 서울 13.6% 부산 19.2% 가중치 부여 방식 / 지역별·성별·연령별 가중치 부여 셀가중 / 2026년 4월 말 행정안전부 발표 주민등록 인구 기준 표본 오차 / 서울·부산 ±3.5%p (95% 신뢰수준) 자세한 내용은 중앙선거여론조사심의위원회 또는 KBS 홈페이지에서 보실 수 있습니다.
하남갑,한국리서치,이광재,42.0,이용,31.0,11.0,https://gall.dcinside.com/mgallery/board/view/?id=minjudang&no=5080439&exception_mode=recommend&search_head=100&page=1,한국리서치 : 하남갑 이광재 42% 이용 31%,"여야 전직 의원이 맞붙은 경기 하남갑에선 민주당 이광재 후보 42%, 국민의힘 이용 후보 31%로 11%p 격차를 보이면서 이광재 후보가 오차범위(±4.4%p) 밖에서 앞선 것으로 조사됐습니다.지난 12일 경기 하남갑 보궐선거 출마 선언을 한 개혁신당 김성열 후보는 이번 조사엔 포함되지 못했습니다.<조사개요②>조사 의뢰 / KBS조사 기관 / (주)한국리서치조사 일시 / 2026년 5월 11일~14일 (4일간)조사 대상 / 경기 평택을·경기 하남갑 거주 만 18세 이상 남녀조사 방법 / 전화 면접 조사피조사자 선정방법 / 성·연령·지역으로 층화된 가상번호 내 무작위추출표본 수 / 경기 평택을·경기 하남갑 각 500명응답률 / 경기 평택을 20.0% 경기 하남갑 16.5%가중치 부여 방식 / 지역별·성별·연령별 가중치 부여셀가중 / 2026년 4월 말 행정안전부 발표 주민등록 인구 기준표본 오차 / 경기 평택을·경기 하남갑 ±4.4%p (95% 신뢰수준)자세한 내용은 중앙선거여론조사심의위원회 또는 KBS 홈페이지에서 보실 수 있습니다."
평택을,한국리서치,김용남,24.0,조국,22.0,2.0,https://gall.dcinside.com/mgallery/board/view/?id=minjudang&no=5080434&exception_mode=recommend&search_head=100&page=1,한국리서치 : 평택을 김용남 24% 조국 22% 유의동 18%,"경기 평택을 국회의원 재선거에선 더불어민주당 김용남, 국민의힘 유의동, 조국혁신당 조국 후보 등 세 후보가 오차 범위(±4.4%p) 내에서 치열한 접전 중인 것으로 나타났습니다. 민주당 김용남 후보 24%, 국민의힘 유의동 후보 18%, 조국혁신당 조국 후보 22%로 각각 조사됐습니다.여기에 진보당 김재연 후보가 4%, 자유와혁신 황교안 후보가 7% 지지율을 보여, 진보·보수 진영의 단일화 여부가 이번 평택을 재선거의 최대 변수가 될 전망입니다.<조사개요②>조사 의뢰 / KBS조사 기관 / (주)한국리서치조사 일시 / 2026년 5월 11일~14일 (4일간)조사 대상 / 경기 평택을·경기 하남갑 거주 만 18세 이상 남녀조사 방법 / 전화 면접 조사피조사자 선정방법 / 성·연령·지역으로 층화된 가상번호 내 무작위추출표본 수 / 경기 평택을·경기 하남갑 각 500명응답률 / 경기 평택을 20.0% 경기 하남갑 16.5%가중치 부여 방식 / 지역별·성별·연령별 가중치 부여셀가중 / 2026년 4월 말 행정안전부 발표 주민등록 인구 기준표본 오차 / 경기 평택을·경기 하남갑 ±4.4%p (95% 신뢰수준)자세한 내용은 중앙선거여론조사심의위원회 또는 KBS 홈페이지에서 보실 수 있습니다.p.s 그래프 내가 이상하게 만든거 아니니 오해마시길p.s2 권영국->황교안으로 된 그래픽 수정본 올라온걸로 수정함."
서울시장,한국리서치,정원오,43.0,오세훈,32.0,11.0,https://gall.dcinside.com/mgallery/board/view/?id=minjudang&no=5080432&exception_mode=recommend&search_head=100&page=1,한국리서치 : 서울시장 정원오 43% 오세훈 32%,< 조사개요①>조사 의뢰 / KBS조사 기관 / (주)한국리서치조사 일시 / 2026년 5월 11일~14일 (4일간)조사 대상 / 서울·부산 거주 만 18세 이상 남녀조사 방법 / 전화 면접 조사피조사자 선정방법 / 성·연령·지역으로 층화된 가상번호 내 무작위추출표본 수 / 서울·부산 각 800명응답률 / 서울 13.6% 부산 19.2%가중치 부여 방식 / 지역별·성별·연령별 가중치 부여셀가중 / 2026년 4월 말 행정안전부 발표 주민등록 인구 기준표본 오차 / 서울·부산 ±3.5%p (95% 신뢰수준)자세한 내용은 중앙선거여론조사심의위원회 또는 KBS 홈페이지에서 보실 수 있습니다.
부산시장 ‘,미상,전재수,42.0,박형준,33.0,9.0,https://gall.dcinside.com/mgallery/board/view/?id=minjudang&no=5080425&exception_mode=recommend&search_head=100&page=1,[KBS] 부산시장 ‘전재수 42%·박형준 33%’,"https://n.news.naver.com/mnews/article/056/0012182015?sid=162 6·3 지방선거 부산시장 ‘전재수 42%·박형준 33%’6.3 지방선거를 19일 앞두고 실시된 KBS의 4차 여론조사 결과, 부산시장 선거에서는 더불어민주당 전재수 후보가, 교육감 선거에서는 김석준 후보가 각각 앞서고 있는 것으로 나타났습니다. 하지만, 교육감 선거의 경n.news.naver.com 부산시장 후보 지지도 조사에서 더불어민주당 전재수 후보는 42%를 기록, 33%를 얻은 국민의힘 박형준 후보에 9%p 차이로 앞섰습니다. 이는 오차범위 (±3.5%p)밖의 결과입니다. TV토론 배제에 항의하며 일주일간 단식을 했던 개혁신당 정이한 후보는 1%에 그쳤습니다. 전 후보의 강세는 중도층과 40·50세대에서 두드러졌습니다. 40대에서는 전재수 후보가 64%를 얻어 박 후보(19%)를 크게 앞섰고, 50대에서도 55%대 32%로 우위를 보였습니다. 강서·북·사상·사하 등 이른바 '낙동강 벨트'에서는 전 후보의 지지도가 50%를 기록하며 박 후보(30%)와 큰 차이를 보였습니다. 반면, 박형준 후보는 고령층과 전통 보수권역에서 경쟁력을 유지했습니다. 70세 이상에서는 박 후보가 42%로 전 후보(30%)에 앞섰고, 중동부 도심권과 금정·해운대권에서는 접전 양상이 나타났습니다. 특히, 국민의 힘 지지층의 80%가 박 후보를 지지해 보수층 결집력은 여전히 견고한 것으로 분석됩니다.주목할 점은 '지지의 강도'입니다. 지지 후보가 있는 응답자의 78%가 '계속 지지할 것'이라고 답해 선거 초반 형성된 지지세가 점차 공고해지는 양상입니다. 후보 선택의 기준으로는 '직무수행 능력(30%)'과 '소속 정당(26%)'이 핵심 지표로 작동한 것으로 나타났습니다. [조사개요] 조사의뢰 : KBS 조사기관 : (주)한국리서치 조사지역 : 부산광역시 조사일자 : 5월 11일~14일(4일간) 조사대상 : 부산광역시 거주 만 18세 이상 남녀 표본크기 : 800명 피조사자선정방법 : 3개 통신사 제공 휴대전화 가상번호 100% 무작위 추출 조사방법 : 면접원에 의한 전화면접조사 응답률 : 19.2% 가중치 부여방식 : 지역별, 성별, 연령별 가중치 부여 (2026년 4월 말 행정안전부 주민등록 인구 기준) 표본오차 : 95% 신뢰수준에 ±3.5%p - dc official App"
,한국갤럽,이재명,61.0,민주,45.0,16.0,https://gall.dcinside.com/mgallery/board/view/?id=minjudang&no=5078943&exception_mode=recommend&search_head=100&page=1,한국갤럽 : 이재명 61% 민주 45% 국힘 23%,"조사 개요- 조사기간: 2026년 5월 12~14일- 표본추출: 이동통신 3사 제공 무선전화 가상번호 무작위 추출- 응답방식: 전화조사원 인터뷰(CATI)- 조사대상: 전국 만 18세 이상 1,011명- 표본오차: ±3.1%포인트(95% 신뢰수준) – 주요 지표 표준오차·신뢰구간·상대표준오차 제시- 접촉률: 39.1%(전체 투입 유효 번호 대비 통화 연결)- 응답률: 12.5%(총통화 8,101명 중 1,011명 응답 완료)- 의뢰처: 한국갤럽 자체 조사이상 자세한 사항은 중앙선거여론조사심의위원회 홈페이지 참조"
부산시장,펜앤마-공정,전재수,45.6,박형준,41.3,4.3,https://gall.dcinside.com/mgallery/board/view/?id=minjudang&no=5078720&exception_mode=recommend&search_head=100&page=1,펜앤마-공정 : 부산시장 전재수 45.6% 박형준 41.3%,"펜앤마이크가 여론조사 전문기관 여론조사공정(주)에 의뢰해 지난 13일부터 14일까지 이틀간 부산에 거주하는 만18세 이상 남녀 803명을 대상으로구조화된 설문지를 이용한 무선 ARS 전화조사로 무선 RDD(100%), 전체 응답률은 6.7%다. 표본오차는 95% 신뢰수준에 ±3.5%p였으며 성, 연령, 지역별 인구비례에 따른 할당 추출로 올해 4월말 행정안전부 주민등록인구통계 기준 성, 연령, 지역별 가중치가 부여(림가중)됐다. 보다 자세한 사항은 중앙선거여론조사심의위원회 홈페이지를 참조하면 된다."
,여조꽃,-,0.0,-,0.0,0.0,https://gall.dcinside.com/mgallery/board/view/?id=minjudang&no=5078704&exception_mode=recommend&search_head=100&page=1,여조꽃 : 서울,여론조사개요는 첨부된 마지막 사진 확인바람이상 자세한 사항은 중앙선거여론조사심의위원회 홈페이지 참조
,여조꽃,-,0.0,-,0.0,0.0,https://gall.dcinside.com/mgallery/board/view/?id=minjudang&no=5078701&exception_mode=recommend&search_head=100&page=1,여조꽃 : 경남,여론조사개요는 첨부된 마지막 사진 확인바람이상 자세한 사항은 중앙선거여론조사심의위원회 홈페이지 참조
